Store code,Taxi Rank Name - English,District/Community - English,Taxi Rank Name - Arabic,District/Community - Arabic,Latitude,Longitude,Primary category
TXR_060,RTA Taxi Rank Rashidiya Metro Station A,Rashidiya,مواقف مركبات الأجرة محطة مترو الراشدية أ,الراشدية,25.229938,55.391317,Taxi stand
TXR_061,RTA Taxi Rank Rashidiya Metro Station B,Rashidiya ,مواقف مركبات الأجرة محطة مترو الراشدية ب,الراشدية,25.229243,55.390997,Taxi stand
TXR_062,RTA Taxi Rank Al Rigga Metro Station A,Al Muraqqabat,مواقف مركبات الأجرة محطة مترو الرقة أ,المرقبات,25.263424,55.323447,Taxi stand
TXR_063,RTA Taxi Rank Union Metro Station,Al Rigga,مواقف مركبات الأجرة محطة مترو الاتحاد,الرقة,25.266278,55.315183,Taxi stand
TXR_064,RTA Taxi Rank Burjuman Metro Station D,Al Hamriya,مواقف مركبات الأجرة محطة مترو برجمان د,الحمرية,25.255438,55.304969,Taxi stand
TXR_065,RTA Taxi Rank ADCB Metro Station Seaside,Mankhool,مواقف مركبات الأجرة محطة مترو بنك ابوظبي التجاري شمال,منخول,25.245147,55.298246,Taxi stand
TXR_066,RTA Taxi Rank ADCB Metro Station Landside,Karama Area,مواقف مركبات الأجرة محطة مترو بنك ابوظبي التجاري جنوب,منطقة الكرامة,25.245274,55.298922,Taxi stand
TXR_067,RTA Taxi Rank Max Metro Station Seaside,Al Jafiliya,مواقف مركبات الأجرة محطة مترو ماكس شمال,الجافلية,25.233136,55.290629,Taxi stand
TXR_068,RTA Taxi Rank Max Metro Station Landside B,Al Kifaf,مواقف مركبات الأجرة محطة مترو ماكس جنوب,الكفاف,25.231416,55.292624,Taxi stand
TXR_069,RTA Taxi Rank World Trade Centre Metro Station Seaside,Trade Center First,مواقف مركبات الأجرة محطة مترو مركز التجاري شمال,المركز التجاري 1,25.224631,55.283507,Taxi stand
TXR_070,RTA Taxi Rank World Trade Centre Metro Station Landside,Trade Center Second,مواقف مركبات الأجرة محطة مترو مركز التجاري جنوب,المركز التجاري 2,25.225808,55.285875,Taxi stand
TXR_071,RTA Taxi Rank Emirates Towers Metro Station Landside,Trade Center Second,مواقف مركبات الأجرة محطة مترو أبراج الإمارات شمال,المركز التجاري 2,25.216855,55.280354,Taxi stand
TXR_072,RTA Taxi Rank Financial Centre Metro Station Seaside,Sheikh Zayed Service Road,مواقف مركبات الأجرة محطة مترو المركز المالي شمال,شارع الشيخ زايد,25.211724,55.274838,Taxi stand
TXR_073,RTA Taxi Rank Financial Centre Metro Station Landside,Trade Center Second,مواقف مركبات الأجرة محطة مترو المركز المالي جنوب,المركز التجاري 2,25.211297,55.276043,Taxi stand
TXR_074,RTA Taxi Rank Burj Khalifa/ Dubai Mall Metro Station Seaside,Al Wasl,مواقف مركبات الأجرة برج خليفة / محطة مترو دبي مول شمال,الوصل,25.201958,55.268139,Taxi stand
